method_id,display_name,family_id,family_label_zh,scene,seed,iterations,point_name,role,surface_level,passed,expected_observation_count,required_valid_observation_count,valid_observation_count,valid_nadir_count,valid_oblique_count,residual_e_m,residual_n_m,residual_z_m,error_h_m,error_z_m,error_3d_m,multiview_scatter_median_m,multiview_scatter_p90_m,multiview_scatter_max_m
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G11,control,ground,True,13,7,13,7,6,0.006200736970640719,-0.01757367281243205,-0.00872063260403877,0.018635533668169637,0.00872063260403877,0.020575046734141532,0.08069839779386684,0.6645285584733612,0.8429177499074809
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G12,control,ground,True,14,7,14,8,6,0.01827937737107277,6.649736315011978e-05,0.08985032388501679,0.01827949832389809,0.08985032388501679,0.09169089791912724,0.10081993916923268,0.4422287118985282,2.3938322258114644
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G13,checkpoint,ground,True,18,9,18,12,6,-0.0430305841146037,0.000355736818164587,-0.015087196756724097,0.04303205453993316,0.015087196756724097,0.045600232717650555,0.09991492196039461,0.26745437384464305,0.4606704725094085
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G14,control,ground,True,16,8,16,10,6,0.017540545552037656,-0.022629526909440756,0.05745120347377508,0.028631559971615435,0.05745120347377508,0.06419039653245115,0.06219988140667006,0.31206675966072295,0.3198368998774405
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G15,control,ground,True,16,8,16,10,6,-0.006066926056519151,0.013714538887143135,0.024347060261064257,0.014996538556021262,0.024347060261064257,0.028595026001354266,0.060990722919747276,0.4438551904402633,0.4745145657639065
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G16,checkpoint,ground,True,18,9,18,12,6,0.020615117507986724,-0.0019443207420408726,0.02607637843928501,0.0207066040918358,0.02607637843928501,0.03329776216992426,0.055097641729943386,0.3320807010020407,0.6316376097207601
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G17,control,ground,True,16,8,16,10,6,0.0010176098439842463,0.021796260494738817,0.11616084657292447,0.021820002322389558,0.11616084657292447,0.11819244805776545,0.15788161368063872,0.430167993843232,0.5833420734986324
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,G18,checkpoint,ground,True,18,9,18,12,6,-0.017766971606761217,-0.000581447035074234,-0.007399473571723547,0.01777648336229795,0.007399473571723547,0.019255014148753333,0.05038367042403878,0.34293647296019497,0.6392508010872711
3dgs_original,3DGS,volumetric_3d_gaussian_ellipsoid,三维体高斯/椭球类,gcp_3000_20260602,0,30000,NC94,checkpoint,ground,True,18,9,18,12,6,-0.019853793550282717,-0.007667460013180971,-0.05456177957205455,0.021282928872478447,0.05456177957205455,0.058565782257735156,0.1338758303423132,0.4888368742512903,1.1102830609693546
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G11,control,ground,True,13,7,13,7,6,0.003437572275288403,-0.008477204479277134,0.007730006076045015,0.009147671776540071,0.007730006076045015,0.011976347225552566,0.03145960011342944,0.09087837330141853,0.1315224038761931
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G12,control,ground,True,14,7,14,8,6,-0.004395830910652876,-0.0029523675329983234,0.005648331258385042,0.005295262358462884,0.005648331258385042,0.00774231550954903,0.027232850879935884,0.08988781128051644,0.1143954274465314
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G13,checkpoint,ground,True,18,9,18,12,6,-0.017943067359738052,0.001420500222593546,-0.04993145559114964,0.017999207959198796,0.04993145559114964,0.05307656492850149,0.03175585120782921,0.04355443804211191,0.05845681478159358
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G14,control,ground,True,16,8,16,10,6,0.018473500153049827,-0.0027494337409734726,-0.0032589349552409885,0.018676980318047546,0.0032589349552409885,0.018959173263706067,0.036162333624463,0.08039936148340784,0.13425885576630978
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G15,control,ground,True,16,8,16,10,6,-0.005470320233143866,0.008333944249898195,0.002472003731995187,0.009968903160004833,0.002472003731995187,0.010270824342016198,0.03141530533692176,0.04659404855513453,0.05769811383534087
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G16,checkpoint,ground,True,18,9,18,12,6,0.000259772757999599,0.0004657912068068981,-0.014090698690750969,0.0005333322924194116,0.014090698690750969,0.014100788379649856,0.014212042923459296,0.05476255931815141,0.07496924558611376
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G17,control,ground,True,16,8,16,10,6,-0.004186251200735569,0.00592674920335412,0.014150835523395244,0.0072561046874420635,0.014150835523395244,0.015902741941102593,0.015437664387954252,0.06792992947333981,0.09949119021833179
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,G18,checkpoint,ground,True,18,9,18,12,6,-0.0035489853471517563,0.0036437478847801685,-0.028891754842646833,0.005086471826535347,0.028891754842646833,0.02933608176852772,0.02543232064387639,0.06572271305181714,0.07895294812877732
2dgs,2DGS,explicit_gaussian_surface_element,显式高斯面元类,gcp_3000_20260602,0,30000,NC94,checkpoint,ground,True,18,9,18,12,6,-0.017437088419683278,-0.0028840620070695877,0.020252534084391982,0.017673988407161383,0.020252534084391982,0.026880011217555955,0.03579763674849608,0.10678852770611473,0.11019444340873075
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G11,control,ground,True,13,7,13,7,6,0.004451173124834895,-0.013013908173888922,0.011274841415499282,0.013754081145088004,0.011274841415499282,0.017784734945742744,0.039950998357014184,0.2240353354048282,0.32630685983613483
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G12,control,ground,True,14,7,14,8,6,0.01468345697503537,-0.0017481185495853424,0.10000395687164598,0.014787150746547463,0.10000395687164598,0.10109130139229165,0.08920555385128767,0.1840155164563599,0.3155804751040249
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G13,checkpoint,ground,True,18,9,18,12,6,-0.03199754003435373,0.0033833617344498634,-0.10560634110493083,0.03217591808909591,0.10560634110493083,0.11039922547938104,0.06935437408253264,0.10860167971095742,0.13208976703973688
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G14,control,ground,True,16,8,16,10,6,0.008423670078627765,-0.0018468736670911312,-0.004814441522810853,0.008623755558674152,0.004814441522810853,0.00987663946453087,0.03544118055850812,0.13758795866441526,0.16587621659343896
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G15,control,ground,True,16,8,16,10,6,-0.0029344508657231927,0.012106465641409159,-0.018278566659759576,0.01245702661994282,0.018278566659759576,0.02211975387171472,0.05205056832856075,0.12642560245534068,0.5702515246047314
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G16,checkpoint,ground,True,18,9,18,12,6,0.007299095974303782,-0.004367954563349485,-0.005945248703952188,0.008506222963782648,0.005945248703952188,0.010377948316571461,0.03504993443750483,0.07766940715228249,0.10827133540615598
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G17,control,ground,True,16,8,16,10,6,0.020446709357202053,0.005669776350259781,-0.02182411030695164,0.02121825363690092,0.02182411030695164,0.03043856235254635,0.06072145074297085,0.14187931968561493,0.20195595002225084
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,G18,checkpoint,ground,True,18,9,18,12,6,-0.0049260364612564445,-0.0005658464506268501,-0.016595563986513184,0.004958428926919787,0.016595563986513184,0.017320472321901856,0.036055066378281736,0.14455191570313003,0.2106218170661351
gof,GOF,implicit_gaussian_opacity_field_isosurface,隐式高斯场/等值面类,gcp_3000_20260602,0,30000,NC94,checkpoint,ground,True,18,9,18,12,6,-0.02102573961019516,-0.005968904122710228,-0.0836603316214024,0.021856567493132056,0.0836603316214024,0.08646826371325413,0.09635485077186198,0.2078829343892652,0.3757764849185518
